SAN FRANCISCO,94177,37.784827,-122.727802,San Francisco,941,3
SAN FRANCISCO,94188,37.784827,-122.727802,San Francisco,941,3
ATHERTON,94027,37.450627,-122.199439,San Mateo,940,5
BELMONT,94002,37.516644,-122.29339,San Mateo,940,4
BELMONT,94003,37.381144,-122.334825,San Mateo,940,4
BRISBANE,94005,37.689182,-122.404332,San Mateo,940,4
BURLINGAME,94010,37.567086,-122.367573,San Mateo,940,4
BURLINGAME,94011,37.381144,-122.334825,San Mateo,940,4
BURLINGAME,94012,37.381144,-122.334825,San Mateo,940,4
DALY CITY,94014,37.687509,-122.438783,San Mateo,940,4
DALY CITY,94015,37.676864,-122.475234,San Mateo,940,4
DALY CITY,94016,37.381144,-122.334825,San Mateo,940,4
DALY CITY,94017,37.381144,-122.334825,San Mateo,940,4
EL GRANADA,94018,37.510085,-122.473404,San Mateo,940,4
HALF MOON BAY,94019,37.389057,-122.415566,San Mateo,940,4
LA HONDA,94020,37.272556,-122.249528,San Mateo,940,4
LOMA MAR,94021,37.279692,-122.314831,San Mateo,940,4
MENLO PARK,94025,37.439616,-122.186373,San Mateo,940,5
MENLO PARK,94026,37.381144,-122.334825,San Mateo,940,5
MENLO PARK,94029,37.381144,-122.334825,San Mateo,940,5
MILLBRAE,94030,37.598385,-122.400083,San Mateo,940,4
MILLBRAE,94031,37.381144,-122.334825,San Mateo,940,4
MONTARA,94037,37.542789,-122.505152,San Mateo,940,4
MOSS BEACH,94038,37.52019,-122.499618,San Mateo,940,4
PACIFICA,94044,37.616774,-122.480015,San Mateo,940,4
PACIFICA,94045,37.381144,-122.334825,San Mateo,940,4
PALO ALTO,94303,37.467338,-122.138765,San Mateo,943,5
PALO ALTO,94307,37.381144,-122.334825,San Mateo,943,5
PALO ALTO,94308,37.381144,-122.334825,San Mateo,943,5
PESCADERO,94060,37.211194,-122.343782,San Mateo,940,4
PORTOLA VALLEY,94028,37.370194,-122.218176,San Mateo,940,5
REDWOOD CITY,94059,37.381144,-122.334825,San Mateo,940,5
REDWOOD CITY,94061,37.462158,-122.235639,San Mateo,940,5
REDWOOD CITY,94062,37.424539,-122.295997,San Mateo,940,5
REDWOOD CITY,94063,37.490387,-122.212846,San Mateo,940,5
REDWOOD CITY,94064,37.381144,-122.334825,San Mateo,940,5
REDWOOD CITY,94065,37.53256,-122.247806,San Mateo,940,5
SAN BRUNO,94066,37.623159,-122.436034,San Mateo,940,4
SAN BRUNO,94067,37.381144,-122.334825,San Mateo,940,4
SAN BRUNO,94096,37.381144,-122.334825,San Mateo,940,4
SAN BRUNO,94098,37.381144,-122.334825,San Mateo,940,4
SAN CARLOS,94070,37.498586,-122.29815,San Mateo,940,4
SAN CARLOS,94071,37.381144,-122.334825,San Mateo,940,4
SAN FRANCISCO,94128,37.621582,-122.392882,San Mateo,941,4
SAN GREGORIO,94074,37.328292,-122.360233,San Mateo,940,4
SAN MATEO,94401,37.573485,-122.32253,San Mateo,944,4
SAN MATEO,94402,37.541886,-122.33063,San Mateo,944,4
SAN MATEO,94403,37.541486,-122.304079,San Mateo,944,4
SAN MATEO,94404,37.553774,-122.269978,San Mateo,944,4
SAN MATEO,94405,37.381144,-122.334825,San Mateo,944,4
SAN MATEO,94406,37.381144,-122.334825,San Mateo,944,4
SAN MATEO,94407,37.381144,-122.334825,San Mateo,944,4
SAN MATEO,94408,37.381144,-122.334825,San Mateo,944,4
SAN MATEO,94409,37.381144,-122.334825,San Mateo,944,4
SAN MATEO,94497,37.534736,-122.32588,San Mateo,944,4
SOUTH SAN FRANCISCO,94080,37.657443,-122.423483,San Mateo,940,4
SOUTH SAN FRANCISCO,94083,37.381144,-122.334825,San Mateo,940,4
SOUTH SAN FRANCISCO,94099,37.381144,-122.334825,San Mateo,940,4
ALVISO,95002,37.189396,-121.705327,Santa Clara,950,6
CAMPBELL,95008,37.189396,-121.705327,Santa Clara,950,6
CAMPBELL,95009,37.189396,-121.705327,Santa Clara,950,6
CAMPBELL,95011,37.189396,-121.705327,Santa Clara,950,6
COYOTE,95013,37.189396,-121.705327,Santa Clara,950,6
CUPERTINO,95014,37.189396,-121.705327,Santa Clara,950,6
CUPERTINO,95015,37.189396,-121.705327,Santa Clara,950,6
GILROY,95020,37.023347,-121.493849,Santa Clara,950,6
GILROY,95021,36.986148,-121.497349,Santa Clara,950,6
HOLY CITY,95026,37.189396,-121.705327,Santa Clara,950,6
LOS ALTOS,94022,37.238842,-121.885066,Santa Clara,940,5
LOS ALTOS,94023,37.189396,-121.705327,Santa Clara,940,5
LOS ALTOS,94024,37.189396,-121.705327,Santa Clara,940,5
LOS GATOS,95030,37.107647,-121.842064,Santa Clara,950,6
LOS GATOS,95031,37.189396,-121.705327,Santa Clara,950,6
LOS GATOS,95032,37.070923,-121.66186,Santa Clara,950,6
LOS GATOS,95033,37.189396,-121.705327,Santa Clara,950,6
MILPITAS,95035,37.436454,-121.861989,Santa Clara,950,6
MILPITAS,95036,37.456807,-121.913632,Santa Clara,950,6
MORGAN HILL,95037,37.130238,-121.681557,Santa Clara,950,6
MORGAN HILL,95038,37.225787,-121.617894,Santa Clara,950,6
MOUNT HAMILTON,95140,37.304321,-121.633457,Santa Clara,951,6
MOUNTAIN VIEW,94035,37.189396,-121.705327,Santa Clara,940,5
MOUNTAIN VIEW,94039,37.189396,-121.705327,Santa Clara,940,5
MOUNTAIN VIEW,94040,37.189396,-121.705327,Santa Clara,940,5
MOUNTAIN VIEW,94041,37.189396,-121.705327,Santa Clara,940,5
MOUNTAIN VIEW,94042,37.189396,-121.705327,Santa Clara,940,5
MOUNTAIN VIEW,94043,37.189396,-121.705327,Santa Clara,940,5
NEW ALMADEN,95042,37.189396,-121.705327,Santa Clara,950,6
PALO ALTO,94301,37.189396,-121.705327,Santa Clara,943,5
PALO ALTO,94302,37.189396,-121.705327,Santa Clara,943,5
PALO ALTO,94304,37.189396,-121.705327,Santa Clara,943,5
PALO ALTO,94306,37.189396,-121.705327,Santa Clara,943,5
PALO ALTO,94309,37.189396,-121.705327,Santa Clara,943,5
PALO ALTO,94310,37.189396,-121.705327,Santa Clara,943,5
REDWOOD ESTATES,95044,37.189396,-121.705327,Santa Clara,950,6
SAN JOSE,95101,37.189396,-121.705327,Santa Clara,951,6
SAN JOSE,95102,37.189396,-121.705327,Santa Clara,951,6
SAN JOSE,95103,37.189396,-121.705327,Santa Clara,951,6
SAN JOSE,95106,37.189396,-121.705327,Santa Clara,951,6
SAN JOSE,95108,37.189396,-121.705327,Santa Clara,951,6
SAN JOSE,95109,37.189396,-121.705327,Santa Clara,951,6
SAN JOSE,95110,37.189396,-121.705327,Santa Clara,951,6
SAN JOSE,95111,37.267947,-121.800001,Santa Clara,951,6
SAN JOSE,95112,37.37004,-121.892093,Santa Clara,951,6
SAN JOSE,95113,37.189396,-121.705327,Santa Clara,951,6
SAN JOSE,95114,37.189396,-121.705327,Santa Clara,951,6
SAN JOSE,95115,37.189396,-121.705327,Santa Clara,951,6
SAN JOSE,95116,37.35504,-121.835344,Santa Clara,951,6
SAN JOSE,95117,37.189396,-121.705327,Santa Clara,951,6
SAN JOSE,95118,37.189396,-121.705327,Santa Clara,951,6
SAN JOSE,95119,37.189396,-121.705327,Santa Clara,951,6
SAN JOSE,95120,37.38478,-121.895798,Santa Clara,951,6
SAN JOSE,95121,37.298592,-121.797977,Santa Clara,951,6
SAN JOSE,95122,37.33074,-121.828333,Santa Clara,951,6
SAN JOSE,95123,37.189396,-121.705327,Santa Clara,951,6
SAN JOSE,95124,37.189396,-121.705327,Santa Clara,951,6
SAN JOSE,95125,37.189396,-121.705327,Santa Clara,951,6
SAN JOSE,95126,37.189396,-121.705327,Santa Clara,951,6
SAN JOSE,95127,37.373903,-121.795913,Santa Clara,951,6
SAN JOSE,95128,37.189396,-121.705327,Santa Clara,951,6
SAN JOSE,95129,37.189396,-121.705327,Santa Clara,951,6
SAN JOSE,95130,37.189396,-121.705327,Santa Clara,951,6
SAN JOSE,95131,37.388389,-121.886316,Santa Clara,951,6
SAN JOSE,95132,37.433587,-121.829615,Santa Clara,951,6
SAN JOSE,95133,37.372239,-121.864265,Santa Clara,951,6
SAN JOSE,95134,37.189396,-121.705327,Santa Clara,951,6
SAN JOSE,95135,37.272289,-121.723862,Santa Clara,951,6
SAN JOSE,95136,37.189396,-121.705327,Santa Clara,951,6
SAN JOSE,95137,37.189396,-121.705327,Santa Clara,951,6
SAN JOSE,95138,37.258733,-121.745159,Santa Clara,951,6
SAN JOSE,95139,37.216394,-121.740059,Santa Clara,951,6
SAN JOSE,95141,37.178745,-121.741809,Santa Clara,951,6
SAN JOSE,95142,37.189396,-121.705327,Santa Clara,951,6
SAN JOSE,95148,37.335928,-121.776861,Santa Clara,951,6
SAN JOSE,95150,37.189396,-121.705327,Santa Clara,951,6
SAN JOSE,95151,37.187349,-121.75722,Santa Clara,951,6
SAN JOSE,95152,37.189396,-121.705327,Santa Clara,951,6
SAN JOSE,95153,37.216184,-121.743632,Santa Clara,951,6
SAN JOSE,95154,37.189396,-121.705327,Santa Clara,951,6
SAN JOSE,95155,37.189396,-121.705327,Santa Clara,951,6
SAN JOSE,95156,37.189396,-121.705327,Santa Clara,951,6
SAN JOSE,95157,37.189396,-121.705327,Santa Clara,951,6
SAN JOSE,95158,37.189396,-121.705327,Santa Clara,951,6
SAN JOSE,95159,37.189396,-121.705327,Santa Clara,951,6
SAN JOSE,95160,37.189396,-121.705327,Santa Clara,951,6
SAN JOSE,95161,37.189396,-121.705327,Santa Clara,951,6
SAN JOSE,95164,37.189396,-121.705327,Santa Clara,951,6
SAN JOSE,95170,37.189396,-121.705327,Santa Clara,951,6
SAN JOSE,95171,37.189396,-121.705327,Santa Clara,951,6
SAN JOSE,95172,37.189396,-121.705327,Santa Clara,951,6
SAN JOSE,95173,37.189396,-121.705327,Santa Clara,951,6
SAN JOSE,95190,37.189396,-121.705327,Santa Clara,951,6
SAN JOSE,95191,37.189396,-121.705327,Santa Clara,951,6
SAN JOSE,95192,37.189396,-121.705327,Santa Clara,951,6
SAN JOSE,95193,37.189396,-121.705327,Santa Clara,951,6
SAN JOSE,95194,37.189396,-121.705327,Santa Clara,951,6
SAN JOSE,95196,37.189396,-121.705327,Santa Clara,951,6
SAN MARTIN,95046,37.090125,-121.606099,Santa Clara,950,6
SANTA CLARA,95050,37.189396,-121.705327,Santa Clara,950,6
SANTA CLARA,95051,37.189396,-121.705327,Santa Clara,950,6
SANTA CLARA,95052,37.189396,-121.705327,Santa Clara,950,6
SANTA CLARA,95053,37.189396,-121.705327,Santa Clara,950,6
SANTA CLARA,95054,37.189396,-121.705327,Santa Clara,950,6
SANTA CLARA,95055,37.189396,-121.705327,Santa Clara,950,6
SANTA CLARA,95056,37.189396,-121.705327,Santa Clara,950,6
SARATOGA,95070,37.189396,-121.705327,Santa Clara,950,6
SARATOGA,95071,37.189396,-121.705327,Santa Clara,950,6
STANFORD,94305,37.189396,-121.705327,Santa Clara,943,5
SUNNYVALE,94086,37.189396,-121.705327,Santa Clara,940,5
SUNNYVALE,94087,37.189396,-121.705327,Santa Clara,940,5
SUNNYVALE,94088,37.189396,-121.705327,Santa Clara,940,5
SUNNYVALE,94089,37.189396,-121.705327,Santa Clara,940,5
SUNNYVALE,94090,37.189396,-121.705327,Santa Clara,940,5
ALAMO,94507,37.936723,-122.067431,Contra Costa,945,2
ANTIOCH,94509,37.931997,-121.906748,Contra Costa,945,2
ANTIOCH,94531,37.920852,-121.723919,Contra Costa,945,2
BETHEL ISLAND,94511,38.02662,-121.642463,Contra Costa,945,2
BRENTWOOD,94513,37.912274,-121.843071,Contra Costa,945,2
BYRON,94514,37.858925,-121.617002,Contra Costa,945,2
CANYON,94516,37.777208,-121.955399,Contra Costa,945,2
CLAYTON,94517,37.897832,-121.784818,Contra Costa,945,2
CONCORD,94518,37.953672,-122.022872,Contra Costa,945,2
CONCORD,94519,37.984821,-122.011272,Contra Costa,945,2
CONCORD,94520,37.988871,-122.013355,Contra Costa,945,2
CONCORD,94521,37.951661,-121.960045,Contra Costa,945,2
CONCORD,94522,37.777208,-121.955399,Contra Costa,945,2
CONCORD,94524,37.777208,-121.955399,Contra Costa,945,2
CONCORD,94527,37.953542,-121.957778,Contra Costa,945,2
CONCORD,94529,37.777208,-121.955399,Contra Costa,945,2
CROCKETT,94525,37.958011,-122.152602,Contra Costa,945,2
DANVILLE,94506,37.832075,-121.916718,Contra Costa,945,2
DANVILLE,94526,37.914851,-122.053573,Contra Costa,945,2
DIABLO,94528,37.838744,-121.96672,Contra Costa,945,2
EL CERRITO,94530,37.918024,-122.30248,Contra Costa,945,2
EL SOBRANTE,94803,37.966422,-122.206177,Contra Costa,948,2
EL SOBRANTE,94820,37.777208,-121.955399,Contra Costa,948,2
HERCULES,94547,38.008343,-122.262101,Contra Costa,945,2
KNIGHTSEN,94548,37.972622,-121.665205,Contra Costa,945,2
LAFAYETTE,94549,37.901223,-122.120089,Contra Costa,945,2
MARTINEZ,94553,37.986421,-122.134976,Contra Costa,945,2
MORAGA,94556,37.838926,-122.099224,Contra Costa,945,2
MORAGA,94570,37.777208,-121.955399,Contra Costa,945,2
MORAGA,94575,37.777208,-121.955399,Contra Costa,945,2
OAKLEY,94561,37.996516,-121.68972,Contra Costa,945,2
ORINDA,94563,37.893124,-122.144826,Contra Costa,945,2
PINOLE,94564,37.990772,-122.243294,Contra Costa,945,2
PITTSBURG,94565,38.00307,-121.917219,Contra Costa,945,2
PLEASANT HILL,94523,37.957572,-122.077774,Contra Costa,945,2
PORT COSTA,94569,38.04697,-122.193028,Contra Costa,945,2
RICHMOND,94801,37.947523,-122.384032,Contra Costa,948,2
RICHMOND,94802,37.777208,-121.955399,Contra Costa,948,2
RICHMOND,94804,37.925174,-122.344381,Contra Costa,948,2
RICHMOND,94805,37.929123,-122.30093,Contra Costa,948,2
RICHMOND,94807,37.777208,-121.955399,Contra Costa,948,2
RICHMOND,94808,37.777208,-121.955399,Contra Costa,948,2
RICHMOND,94850,37.777208,-121.955399,Contra Costa,948,2
RODEO,94572,38.030821,-122.245129,Contra Costa,945,2
SAN PABLO,94806,37.959573,-122.334131,Contra Costa,948,2
SAN RAMON,94583,37.768556,-121.975531,Contra Costa,945,2
WALNUT CREEK,94595,37.873343,-122.070625,Contra Costa,945,2
WALNUT CREEK,94596,37.952389,-121.864451,Contra Costa,945,2
WALNUT CREEK,94597,37.777208,-121.955399,Contra Costa,945,2
WALNUT CREEK,94598,37.906873,-122.037045,Contra Costa,945,2
ALAMEDA,94501,37.770563,-122.264779,Alameda,945,2
ALAMEDA,94502,37.735088,-122.243067,Alameda,945,2
ALBANY,94706,37.889525,-122.29828,Alameda,947,2
BERKELEY,94701,37.860576,-122.29673,Alameda,947,2
BERKELEY,94702,37.864425,-122.28713,Alameda,947,2
BERKELEY,94703,37.865725,-122.27573,Alameda,947,2
BERKELEY,94704,37.866975,-122.256729,Alameda,947,2
BERKELEY,94705,37.85983,-122.242029,Alameda,947,2
BERKELEY,94707,37.892675,-122.27608,Alameda,947,2
BERKELEY,94708,37.891825,-122.260429,Alameda,947,2
BERKELEY,94709,37.879825,-122.26553,Alameda,947,2
BERKELEY,94710,37.873366,-122.30273,Alameda,947,2
BERKELEY,94712,37.680181,-121.921498,Alameda,947,2
BERKELEY,94720,37.866825,-122.253582,Alameda,947,2
CASTRO VALLEY,94546,37.731229,-122.066373,Alameda,945,2
CASTRO VALLEY,94552,37.68943,-121.9251,Alameda,945,2
DUBLIN,94568,37.714402,-121.906329,Alameda,945,2
EMERYVILLE,94608,37.833876,-122.29548,Alameda,946,2
EMERYVILLE,94662,37.680181,-121.921498,Alameda,946,2
FREMONT,94536,37.565285,-121.982721,Alameda,945,2
